Change,Analyst,Recommendation,Date
Initiated,MLV & Co.,to Buy,9/23/2020
Initiated,Tigress Financial,to Neutral,10/8/2014
Maintains,JP Morgan,to Neutral,9/22/2014
Initiated,ISI Group,to Buy,9/23/2020
Initiated,FBN Securities,to Outperform,9/23/2020
Upgrade,Stifel Nicolaus,Neutral to Buy,9/2/2014
Initiated,CLSA,to Outperform,8/20/2014
Initiated,Credit Suisse,to Outperform,8/13/2014
Upgrade,Deutsche Bank,Hold to Buy,8/11/2014
Initiated,Pacific Crest,to Outperform,8/6/2014
Initiated,Pacific Crest,to Outperform,8/5/2014
Maintains,UBS,to Neutral,8/1/2014
Maintains,JP Morgan,to Neutral,8/1/2014
Upgrade,S&P Capital IQ,Sell to Hold,5/7/2014
Initiated,UBS,to Neutral,3/26/2014
Maintains,Goldman Sachs,to Neutral,3/18/2014
Maintains,Baird,to Outperform,3/17/2014
Maintains,JP Morgan,to Neutral,3/3/2014
Maintains,Wedbush,to Outperform,2/27/2014
Maintains,Morgan Stanley,to Overweight,2/25/2014
Downgrade,S&P Capital IQ,Hold to Sell,2/20/2014
Maintains,Jefferies,to Buy,2/20/2014
Downgrade,Deutsche Bank,Buy to Hold,2/20/2014
Initiated,FBR Capital,to Market Perform,9/23/2020
Maintains,Baird,to Outperform,2/18/2014
Maintains,Bank of America,to Underperform,1/15/2014
Upgrade,Baird,Market Perform to Outperform,1/14/2014
Maintains,Morgan Stanley,to Overweight,12/3/2013
Maintains,Jefferies,to Buy,12/3/2013
Upgrade,S&P Capital IQ,Sell to,11/27/2013
Maintains,Bank of America,to Underperform,11/27/2013
Maintains,Deutsche Bank,to Buy,11/27/2013
Upgrade,Standpoint Research,Sell to Hold,11/7/2013
Maintains,Stifel Nicolaus,to Hold,11/6/2013
Maintains,Morgan Stanley,to Overweight,11/6/2013
Maintains,JP Morgan,to Neutral,11/6/2013
Maintains,Goldman Sachs,to Neutral,11/6/2013
Maintains,Wedbush,to Outperform,11/6/2013
Maintains,Baird,to Neutral,11/4/2013
Maintains,Wedbush,to Outperform,11/1/2013
Maintains,Bank of America,to Underperform,10/23/2013
Upgrade,Wedbush,Neutral to Outperform,10/15/2013
Maintains,Jefferies,to Buy,10/7/2013
Initiated,Standpoint Research,to Sell,10/4/2013
Downgrade,Baird,Buy to Neutral,10/2/2013
Maintains,Wedbush,to Neutral,9/25/2013
Maintains,Deutsche Bank,to Buy,9/19/2013
Maintains,Global Equities Research,to Overweight,9/23/2020
Initiated,Stifel Nicolaus,to Hold,8/22/2013
Downgrade,Lazard,Buy to Neutral,8/12/2013
Maintains,Goldman Sachs,to Neutral,8/8/2013
Maintains,Jefferies,to Buy,8/8/2013
Downgrade,Barclays,Overweight to Equal-Weight,8/8/2013
Upgrade,Deutsche Bank,Hold to Buy,7/26/2013
Maintains,Dougherty,to Buy,7/17/2013
Maintains,Bank of America,Underperform to Underperform,7/8/2013
Maintains,Jefferies,to Buy,7/1/2013
Initiated,Wedbush,to Neutral,6/28/2013
Initiated,Wedbush,to Neutral,6/27/2013
Initiated,Global Equities Research,to Overweight,6/17/2013
Maintains,Baird,to Outperform,6/12/2013
Maintains,Bank of America,to Underperform,5/20/2013
Maintains,Morgan Stanley,to Overweight,5/17/2013
Maintains,Deutsche Bank,to Hold,5/15/2013
Maintains,Morgan Stanley,to Overweight,5/14/2013
Downgrade,Goldman Sachs,Buy to Neutral,5/9/2013
Maintains,JP Morgan,to Neutral,5/9/2013
Maintains,Jefferies,to Buy,5/7/2013
Initiated,Northland Securities,to Outperform,9/23/2020
Maintains,Deutsche Bank,to Hold,2/21/2013
Downgrade,Bank of America,Neutral to Underperform,2/21/2013
Maintains,Jefferies,to Buy,2/11/2013
Initiated,JP Morgan,to Neutral,12/18/2012
Maintains,Jefferies,to Buy,11/6/2012
Maintains,Morgan Stanley,to Overweight,10/8/2012
Maintains,Jefferies,to Buy,9/26/2012
Maintains,Bank of America,to Neutral,9/25/2012
Maintains,Goldman Sachs,to Buy,9/25/2012
Upgrade,Morgan Stanley,Neutral to Overweight,9/17/2012
Downgrade,Wunderlich,Buy to Sell,9/23/2020
Initiated,Maxim Group,to Buy,5/22/2012
Upgrade,Wunderlich,to Buy,3/26/2012
Initiated,Oxen Group,to Buy,2/17/2012
Downgrade,Wunderlich,to Hold,2/16/2012
Maintains,JP Morgan,to Overweight,2/16/2012
